[ 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.08 0.27 0.63 ]
[ 0.01 0.02 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.07 0.07 0.08 0.09 0.08 ]
[ 0.01 0.03 0.04 0.05 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.08 0.08 0.08 0.07 ]
[ 0.01 0.03 0.05 0.05 0.06 0.06 0.06 0.06 0.06 0.07 0.06 0.07 0.07 0.07 0.08 0.08 0.05 ]
[ 0.02 0.04 0.05 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.07 0.08 0.07 0.04 ]
[ 0.02 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.07 0.07 0.08 0.07 0.03 ]
[ 0.03 0.06 0.07 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.07 0.07 0.05 0.02 ]
[ 0.02 0.05 0.06 0.06 0.06 0.07 0.07 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.08 0.07 0.03 ]
[ 0.04 0.05 0.06 0.07 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.07 0.07 0.07 0.06 0.02 ]
[ 0.05 0.06 0.06 0.07 0.07 0.07 0.06 0.06 0.06 0.06 0.07 0.06 0.07 0.06 0.06 0.04 0.01 ]
[ 0.05 0.08 0.07 0.07 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.07 0.07 0.06 0.03 0.01 ]
[ 0.07 0.07 0.07 0.07 0.07 0.06 0.06 0.06 0.06 0.06 0.06 0.07 0.06 0.07 0.05 0.03 0.00 ]
[ 0.08 0.08 0.08 0.07 0.07 0.07 0.07 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0.02 0.00 ]
[ 0.11 0.09 0.08 0.06 0.06 0.06 0.06 0.07 0.07 0.06 0.06 0.06 0.06 0.04 0.03 0.01 0.00 ]
[ 0.13 0.10 0.07 0.07 0.07 0.06 0.06 0.07 0.06 0.06 0.06 0.06 0.05 0.04 0.02 0.01 0.00 ]
[ 0.16 0.10 0.07 0.07 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.05 0.04 0.02 0.01 0.00 ]
[ 0.19 0.10 0.07 0.07 0.07 0.06 0.06 0.06 0.06 0.06 0.06 0.05 0.04 0.03 0.02 0.01 0.00 ]
